"word","termfreq2","docfreq2","relfreq2"
"anal",1,1,0.032258064516129
"blood",1,1,0.032258064516129
"bone",1,1,0.032258064516129
"clenched",1,1,0.032258064516129
"dried",1,1,0.032258064516129
"fresh",2,1,0.032258064516129
"hands",1,1,0.032258064516129
"hollows",1,1,0.032258064516129
"humankind",1,1,0.032258064516129
"incense",1,1,0.032258064516129
"innocence",1,1,0.032258064516129
"knees",1,1,0.032258064516129
"meat",1,1,0.032258064516129
"menstrual",1,1,0.032258064516129
"milk",2,1,0.032258064516129
"moist",1,1,0.032258064516129
"myrrh",1,1,0.032258064516129
"nuts",1,1,0.032258064516129
"old",1,1,0.032258064516129
"pears",1,1,0.032258064516129
"repellent",1,1,0.032258064516129
"scraps",1,1,0.032258064516129
"soft",2,1,0.032258064516129
"sweat",1,1,0.032258064516129
"watery",2,1,0.032258064516129
"wood",2,1,0.032258064516129
