word,termfreq_human,docfreq_human,relfreq_human,termfreq_poor,docfreq_poor,relfreq_poor,termfreq_rich,docfreq_rich,relfreq_rich,total_termfreq,smell_source_quality,class
sweat,1.0,1.0,0.032258064516129,4.0,4.0,0.0392156862745098,2.0,2.0,0.0150375939849624,7.0,negative,poor
oil,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.037593984962406,6.0,neutral,rich
milk,2.0,1.0,0.032258064516129,2.0,2.0,0.0196078431372549,0.0,0.0,0.0,4.0,neutral,"human, poor"
musk,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0225563909774436,3.0,neutral,rich
warm,0.0,0.0,0.0,3.0,1.0,0.0098039215686274,0.0,0.0,0.0,3.0,neutral,poor
jasmine,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0225563909774436,3.0,positive,rich
leather,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0225563909774436,3.0,positive,rich
myrrh,1.0,1.0,0.032258064516129,1.0,1.0,0.0098039215686274,1.0,1.0,0.0075187969924812,3.0,positive,"human, poor, rich"
incense,1.0,1.0,0.032258064516129,1.0,1.0,0.0098039215686274,1.0,1.0,0.0075187969924812,3.0,positive,"human, poor, rich"
wood,2.0,1.0,0.032258064516129,1.0,1.0,0.0098039215686274,0.0,0.0,0.0,3.0,neutral,human
fresh,2.0,1.0,0.032258064516129,0.0,0.0,0.0,1.0,1.0,0.0075187969924812,3.0,positive,human
blood,1.0,1.0,0.032258064516129,2.0,2.0,0.0196078431372549,0.0,0.0,0.0,3.0,neutral,poor
water,0.0,0.0,0.0,1.0,1.0,0.0098039215686274,2.0,2.0,0.0150375939849624,3.0,neutral,rich
freshly,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0150375939849624,2.0,positive,rich
herbs,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0150375939849624,2.0,positive,rich
simple,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0150375939849624,2.0,neutral,rich
sulfur,0.0,0.0,0.0,2.0,2.0,0.0196078431372549,0.0,0.0,0.0,2.0,negative,poor
