"word","termfreq","docfreq","relfreq"
"sweat",4,4,0.0392156862745098
"blood",2,2,0.0196078431372549
"cheese",2,2,0.0196078431372549
"clothes",2,2,0.0196078431372549
"fat",2,2,0.0196078431372549
"fish",2,2,0.0196078431372549
"milk",2,2,0.0196078431372549
"rancid",2,2,0.0196078431372549
"rotting",2,2,0.0196078431372549
"sour",2,2,0.0196078431372549
"sulfur",2,2,0.0196078431372549
"unwashed",2,2,0.0196078431372549
"vapors",2,2,0.0196078431372549
"bouquet",1,1,0.00980392156862745
"broths",1,1,0.00980392156862745
"bussie",1,1,0.00980392156862745
"cabbage",1,1,0.00980392156862745
"carrion",1,1,0.00980392156862745
"caustic",1,1,0.00980392156862745
"chamber",1,1,0.00980392156862745
"cheesy",1,1,0.00980392156862745
"children",1,1,0.00980392156862745
"choucroute",1,1,0.00980392156862745
"churches",1,1,0.00980392156862745
"cimetiere",1,1,0.00980392156862745
"congealed",1,1,0.00980392156862745
"courtyards",1,1,0.00980392156862745
"damp",1,1,0.00980392156862745
"des",1,1,0.00980392156862745
"disease",1,1,0.00980392156862745
"droppings",1,1,0.00980392156862745
"dust",1,1,0.00980392156862745
"featherbeds",1,1,0.00980392156862745
"feces",1,1,0.00980392156862745
"fleeting",1,1,0.00980392156862745
"gaillard",1,1,0.00980392156862745
"goat",1,1,0.00980392156862745
"gods",1,1,0.00980392156862745
"greasy",1,1,0.00980392156862745
"hell",1,1,0.00980392156862745
"hot",1,1,0.00980392156862745
"human",1,1,0.00980392156862745
"incense",1,1,0.00980392156862745
"innocents",1,1,0.00980392156862745
"kitchens",2,1,0.00980392156862745
"leathery",1,1,0.00980392156862745
"lion",1,1,0.00980392156862745
"lyes",1,1,0.00980392156862745
"madame",1,1,0.00980392156862745
"manure",1,1,0.00980392156862745
"maternal",1,1,0.00980392156862745
"matter",1,1,0.00980392156862745
"meaty",1,1,0.00980392156862745
"milkiness",1,1,0.00980392156862745
"moldering",1,1,0.00980392156862745
"mother",1,1,0.00980392156862745
"mutton",1,1,0.00980392156862745
"myrrh",1,1,0.00980392156862745
"old",1,1,0.00980392156862745
"onions",1,1,0.00980392156862745
"paradise",1,1,0.00980392156862745
"pots",1,1,0.00980392156862745
"rank",1,1,0.00980392156862745
"rat",1,1,0.00980392156862745
"rats",1,1,0.00980392156862745
"raw",1,1,0.00980392156862745
"rivers",1,1,0.00980392156862745
"sheets",1,1,0.00980392156862745
"skins",1,1,0.00980392156862745
"spoiled",1,1,0.00980392156862745
"stale",1,1,0.00980392156862745
"steaming",1,1,0.00980392156862745
"tanning",1,1,0.00980392156862745
"teeth",1,1,0.00980392156862745
"tumorous",1,1,0.00980392156862745
"urine",1,1,0.00980392156862745
"vegetable",1,1,0.00980392156862745
"vinegar",1,1,0.00980392156862745
"warm",3,1,0.00980392156862745
"water",1,1,0.00980392156862745
"women",1,1,0.00980392156862745
"wood",1,1,0.00980392156862745
"wool",1,1,0.00980392156862745
"woolly",1,1,0.00980392156862745
